"Date","Site.Name","COUNTY","meanlat","meanlon","Year","Month","Ozone","PM2.5"
2018-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,25
2018-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,58
2018-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,59
2018-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,37,57
2018-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,52
2018-01-22,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,40
2018-01-22,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,51
2018-01-22,"Millbrook School","Wake",35.856111,-78.574167,2018,1,32,59
2018-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,39
2018-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,57
2018-01-23,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,17
2018-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,8
2018-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,25
2018-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,18.5
2018-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,11
2018-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,36,15.5
2018-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,20
2018-01-23,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,13
2018-01-23,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,10
2018-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,19
2018-01-23,"Millbrook School","Wake",35.856111,-78.574167,2018,1,37,20.5
2018-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,16
2018-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,15
2018-01-24,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,18
2018-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,7
2018-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,16
2018-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,26
2018-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,28,22
2018-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,15
2018-01-24,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,3
2018-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,13
2018-01-24,"Millbrook School","Wake",35.856111,-78.574167,2018,1,31,20
2018-01-24,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,9
2018-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,15
2018-01-25,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,26
2018-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,13
2018-01-25,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,34
2018-01-25,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,43
2018-01-25,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,31,30
2018-01-25,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,34
2018-01-25,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,8
2018-01-25,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,27
2018-01-25,"Millbrook School","Wake",35.856111,-78.574167,2018,1,31,35
2018-01-25,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,13
2018-01-25,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,25
2018-01-26,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,52
2018-01-26,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,6
2018-01-26,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,58
2018-01-26,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,46
2018-01-26,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,8
2018-01-26,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,34,46
